Name	Set	Set #	Imagefile	Side	Culture	Type	Twilight	Strength	Vitality	Resistance	Signet/Site#	Unique	Rarity	Card#	Notes	Lore	Text
The Prancing Pony (P)	Promotional	0	LOTR00001	Site	Site	Site	0				1		P	1			Fellowship: Add a burden to play Aragorn from your draw deck. 
Bill the Pony (P)	Promotional	0	LOTR00002	Free Peoples	Shire	Possession	0					U	P	2	Lists: ERL, MXL. When the fellowship moves with Bill the Pony to an underground site, the Shadow number of that site is reduced before Bill the Pony is discarded.		Bearer must be a Hobbit companion. The Shadow number of each site is -1. Discard Bill the Pony if he is at an underground site during the fellowship or regroup phase.
Fireworks (P)	Promotional	0	LOTR00003	Free Peoples	Gandalf	Event	1						P	3			Spell. Fellowship: Spot Gandalf to shuffle up to 2 [GANDALF] or up to 2 [SHIRE] cards from your discard pile into your draw deck.
Council Courtyard (P)	Promotional	0	LOTR00004	Site	Site	Site	0				3		P	4			Sanctuary. When the fellowship moves from Council Courtyard, remove (2). 
Horn of Boromir (P)	Promotional	0	LOTR00005	Free Peoples	Gondor	Possession	0					U	P	5	Lists: MXL		Bearer must be Boromir. Maneuver: Exert Boromir and spot an ally. Until the regroup phase, that ally is strength +3 and participates in archery fire and skirmishes.
Balin's Tomb (P)	Promotional	0	LOTR00006	Site	Site	Site	3				4		P	6			Underground. Maneuver: Discard a tale from play or from hand to heal your companion. 
Book of Mazarbul (P)	Promotional	0	LOTR00007	Free Peoples	Dwarven	Possession	2					U	P	7	Game text is an erratum. 		Tale. Bearer must be a Dwarf. At the start of each fellowship phase when the fellowship is at site 4 or higher, you may draw a card for each Dwarf companion.
Galadriel's Glade (P)	Promotional	0	LOTR00008	Site	Site	Site	3				6		P	8			Sanctuary. Fellowship: Exert an Elf to look at an opponent's hand. 
Phial of Galadriel (P)	Promotional	0	LOTR00009	Free Peoples	Elven	Possession	0					U	P	9			To play, exert an Elf. Bearer must be the Ring-bearer. Bearer's resistance is +2.
The Balrog, Durin's Bane (P)	Promotional	0	LOTR00010	Shadow	Moria	Minion - Balrog	12	17	5		4	U	P	10			Damage +1. Fierce. While you can spot The Balrog, discard all other minions. Skip the archery phase. Discard The Balrog if not underground.
Saruman, Servant of the Eye (P)	Promotional	0	LOTR00011	Shadow	Isengard	Minion - Wizard	4	8	4		4	U	P	11			Saruman may not take wounds during the archery phase and may not be assigned to a skirmish. Assignment: Exert Saruman to assign an [ISENGARD] minion to a companion (except the Ring-bearer). That companion may exert to prevent this.
Gimli, Son of Gloin (P)	Promotional	0	LOTR00012	Free Peoples	Dwarven	Companion - Dwarf	2	6	3	6	Gandalf	U	P	12			Damage +1. Skirmish: Exert Gimli to make him strength +2.
Legolas, Greenleaf (P)	Promotional	0	LOTR00013	Free Peoples	Elven	Companion - Elf	2	6	3	6	Frodo	U	P	13			Archer. Archery: Exert Legolas to wound a minion; Legolas does not add to the fellowship archery total.
Aragorn, Ranger of the North (P)	Promotional	0	LOTR00014	Free Peoples	Gondor	Companion - Man	4	8	4	6	Gandalf	U	P	14			Ranger. Maneuver: Exert Aragorn to make him defender +1 until the regroup phase.
Legolas, Son of Thranduil (P)	Promotional	0	LOTR00015	Free Peoples	Elven	Companion - Elf	2	6	3	6	Aragorn	U	P	15			Archer. While Legolas is at a river or forest, add 1 to the fellowship archery total.
Faramir, Son of Denethor (P)	Promotional	0	LOTR00016	Free Peoples	Gondor	Companion - Man	3	7	3	6	Frodo	U	P	16			Ring-bound. Ranger. An opponent may not play skirmish events or use skirmish special abilities during skirmishes involving Faramir.
Eowyn, Lady of Rohan (P)	Promotional	0	LOTR00017	Free Peoples	Rohan	Companion - Man	2	6	3	6	Theoden	U	P	17			Valiant. Response: If an unbound companion is about to take a wound, exert Eowyn and add (1) to prevent that wound.
Smeagol, Old Noser (P)	Promotional	0	LOTR00018	Free Peoples	Gollum	Companion	0	3	4	6	Frodo	U	P	18			Ring-bound. To play add a burden. Regroup: Exert Smeagol (or Gollum) twice to reveal the top 4 cards of your draw deck. Wound a minion for each Shadow card revealed. Place those 4 cards beneath your draw deck in any order.
Theoden, King of the Golden Hall (P)	Promotional	0	LOTR00019	Free Peoples	Rohan	Companion - Man	2	6	2	6	Gandalf	U	P	19			Valiant. Maneuver: Play a [ROHAN] possession on Theoden to heal a [ROHAN] ally.
Black Rider (P)	Promotional	0	LOTR00020	Shadow	Wraith	Minion - Nazgul	5	8	3		3		P	20			Fierce. This minion is strength +1 for each companion you can spot.
Treebeard, Guardian of the Forest (P)	Promotional	0	LOTR00021	Free Peoples	Gandalf	Companion - Ent	5	12	4	6		U	P	21			Unhasty. Assignment: Exert an unbound Hobbit to allow Treebeard to skirmish. Skirmish: Exert Treebeard to make an Ent damage +1.
Fell Beast (P)	Promotional	0	LOTR00022	Shadow	Wraith	Possession - Mount	0	2					P	22			To play, discard 2 cards from hand. Bearer must be a Nazgul. Bearer is fierce.
Aragorn, Captain of Gondor (P)	Promotional	0	LOTR00023	Free Peoples	Gondor	Companion - Man	4	8	4	6	Aragorn	U	P	23			Knight. At the start of each fellowship phase, you may add (2) to heal another [GONDOR] companion.
Legolas, Elven Stalwart (P)	Promotional	0	LOTR00024	Free Peoples	Elven	Companion - Elf	2	6	3	6	Aragorn	U	P	24			Archer. While you can spot 3 wounded minions, each minion skirmishing Legolas is strength -3.
Denethor, Wizened Steward (P)	Promotional	0	LOTR00025	Free Peoples	Gondor	Companion - Man	2	5	3	6	Aragorn	U	P	25			Denethor is strength +1 for each other [GONDOR] Man you can spot (limit +4).
Gandalf, Defender of the West (P)	Promotional	0	LOTR00026	Free Peoples	Gandalf	Companion - Wizard	4	9	4	6	Gandalf	U	P	26			While you cannot spot 3 companions of the same culture, Gandalf is strength -2.
Frodo, Resolute Hobbit (P)	Promotional	0	LOTR00027	Free Peoples	Shire	Companion - Hobbit	0	3	4	12	Frodo	U	P	27			Ring-bearer (resistance 12).
Arwen, Fair Elf Maiden (P)	Promotional	0	LOTR00028	Free Peoples	Elven	Companion - Elf	2	6	3	6	Gandalf	U	P	28			While skirmishing a fierce minion, Arwen is strength +3.
Eowyn, Dernhelm (P)	Promotional	0	LOTR00029	Free Peoples	Rohan	Companion - Man	2	6	3	6	Theoden	U	P	29			Valiant. While skirmishing a mounted minion, Eowyn is strength +2. While skirmishing a fierce minion, Eowyn is strength +2.
The Balrog, Terror of Flame and Shadow (P)	Promotional	0	LOTR00030	Shadow	Moria	Minion - Balrog	14	17	5		4	U	P	30			Damage +2. The twilight cost of The Balrog is -3 if you can spot a [MORIA] minion. The Balrog cannot be assigned to skirmish companions or allies of strength less than 6.
The Pale Blade (P)	Promotional	0	LOTR00031	Shadow	Wraith	Possession - Hand Weapon	2	3				U	P	31			Bearer must be The Witch-king. He is damage +1. Response: If The Witch-king wins a skirmish, exert him to discard a Free Peoples condition.
Gandalf, Mithrandir (P)	Promotional	0	LOTR00032	Free Peoples	Gandalf	Companion - Wizard	4	10	4	6	Aragorn	U	P	32			Damage +1. Each time the fellowship moves, wound Gandalf.
Firefoot (P)	Promotional	0	LOTR00033	Free Peoples	Rohan	Possession - Mount	2					U	P	33			Bearer must be a [ROHAN] Man. If bearer is Eomer, he is defender +1. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
Gimli's Helm (P)	Promotional	0	LOTR00034	Free Peoples	Dwarven	Possession - Helm	0					U	P	34			Bearer must be Gimli. He takes no more than 1 wound during each skirmish phase. Skirmish: Discard Gimli's Helm to prevent all wounds to him.
Faramir, Captain of Gondor (P)	Promotional	0	LOTR00035	Free Peoples	Gondor	Companion - Man	3	7	3	6	Aragorn	U	P	35			Ring-bound. Ranger. The twilight cost of each other [GONDOR] Man in your starting fellowship is -1. While skirmishing a roaming minion, Faramir is strength +2.
Whip of Many Thongs (P)	Promotional	0	LOTR00036	Shadow	Moria	Artifact - Hand Weapon	1	1				U	P	36			Bearer must be The Balrog. Skirmish: Exert The Balrog to discard a helm, shield, or armor borne by a character The Balrog is skirmishing.
The Witch-king, Lord of the Nazgul (P)	Promotional	0	LOTR00037	Shadow	Wraith	Minion - Nazgul	8	14	4		3	U	P	37			Twilight. Return to Its Master may not be played. Each time The Witch-king wins a skirmish, you may exert him to wound the Ring-bearer twice.
Gandalf's Staff, Walking Stick (P)	Promotional	0	LOTR00038	Free Peoples	Gandalf	Artifact - Staff	2		1			U	P	38			Bearer must be Gandalf. While you can spot 2 twilight tokens, Gandalf is damage +2.
Eowyn, Sister-daughter of Theoden (P)	Promotional	0	LOTR00039	Free Peoples	Rohan	Companion - Man	2	6	3	6	Aragorn	U	P	39			Valiant. Response: If Eowyn is exhausted and about to take a wound in a skirmish, discard 2 cards from hand to prevent that wound.
Axe of Erebor (P)	Promotional	0	LOTR00040	Free Peoples	Dwarven	Possession - Hand Weapon	2	2				U	P	40			Bearer must be Gimli. He is damage +1. Skirmish: Discard a [DWARVEN] condition or a card stacked on a [DWARVEN] condition to make Gimli strength +1.
Aragorn's Bow (P)	Promotional	0	LOTR00041	Free Peoples	Gondor	Possession - Ranged Weapon	1					U	P	41			Bearer must be Aragorn. He is an archer. Archery: Exert Aragorn to wound a minion; Aragorn does not add to the fellowship archery total.
The Balrog's Sword (P)	Promotional	0	LOTR00042	Shadow	Moria	Artifact - Hand Weapon	1	3				U	P	42			Bearer must be The Balrog. It is damage +1. This weapon may be borne in addition to 1 other hand weapon.
Ulaire Nelya, Ringwraith in Twilight (P)	Promotional	0	LOTR00043	Shadow	Wraith	Minion - Nazgul	5	10	3		2	U	P	43			Twilight. While you can spot 2 burdens or 2 wounds on the Ring-bearer, Ulaire Nelya is fierce and damage +1.
Glamdring, Lightning Brand (P)	Promotional	0	LOTR00044	Free Peoples	Gandalf	Possession - Hand Weapon	2	2				U	P	44			Bearer must be Gandalf. He is damage +1. Each time you play a spell during a skirmish, you may make Gandalf damage +1 until the end of that skirmish.
Eomer, Third Marshal of Riddermark (P)	Promotional	0	LOTR00045	Free Peoples	Rohan	Companion - Man	3	7	3	6	Theoden	U	P	45			While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. Eomer is strength +2 for each wound on each minion he is skirmishing.
Gimli, Skilled Defender (P)	Promotional	0	LOTR00046	Free Peoples	Dwarven	Companion - Dwarf	2	6	3	6	Theoden	U	P	46			Damage +1. Each time Gimli wins a skirmish, you may wound a minion assigned to skirmish an unbound companion.
Aragorn, Defender of Free Peoples (P)	Promotional	0	LOTR00047	Free Peoples	Gondor	Companion - Man	4	8	4	6	Theoden	U	P	47			Skirmish: Remove an [ELVEN] token to make a minion skirmishing Aragorn strength -3. Skirmish: Remove a [DWARVEN] token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a [ROHAN] token to wound a minion twice.
Shelob, Last Child of Ungoliant (P)	Promotional	0	LOTR00048	Shadow	Gollum	Minion - Spider	6	8	8		8	U	P	48			Enduring. Fierce. While in a fierce skirmish, Shelob is damage +1.
Eomer, Keeper of Oaths (P)	Promotional	0	LOTR00049	Free Peoples	Rohan	Companion - Man	3	8	3	6	Gandalf	U	P	49			Valiant. When you play Eomer (except in your starting fellowship), you may reveal the top 10 cards of your draw deck and play all [ROHAN] possessions revealed. Shuffle your draw deck.
Glorfindel, Revealed in Wrath (P)	Promotional	0	LOTR00050	Free Peoples	Elven	Companion - Elf	4	9	3	6		U	P	50			When Glorfindel is in your starting fellowship, his twilight cost is -2. Skirmish: Reveal the top card of your draw deck. You may exert Glorfindel to make a Nazgul he is skirmishing strength -X, where X is the twilight cost of the card revealed.
Radagast, The Brown (P)	Promotional	0	LOTR00051	Free Peoples	Gandalf	Companion - Wizard	4	8	4	6	Gandalf	U	P	51			The move limit is +1. Each time the fellowship moves during the regroup phase, each opponent may discard 2 cards from hand to draw 2 cards.
Goldberry, River-daughter (P)	Promotional	0	LOTR00052	Free Peoples	Shire	Ally - Home 2	3	4	6		2	U	P	52			Each time the fellowship moves to a river, heal Goldberry and Tom Bombadil. Skirmish: If the fellowship is at a river, exert Goldberry to make a companion strength +1.
Tom Bombadil, The Master (P)	Promotional	0	LOTR00053	Free Peoples	Shire	Ally - Home 2	5	14	9		2	U	P	53			To play, remove 2 burdens or 2 threats. Skirmish: Spot 2 [SHIRE] companions and exert Tom Bombadil X times, where X is the fellowship's site number, to cancel a skirmish involving a [SHIRE] companion.
Sauron, The Lord of the Rings (P)	Promotional	0	LOTR00054	Shadow	Sauron	Minion - Maia	18	24	5		6	U	P	54			Damage +2. Enduring. Fierce. For each burden you spot, threat you spot, and site you control, Sauron's twilight cost is -1.
Gorgoroth Swarm (P)	Promotional	0	LOTR00055	Shadow	Sauron	Minion - Orc	5	12	3		5		P	55			Besieger. When you play this minion, if you can spot another besieger, you may spot 6 companions to play a besieger from your discard pile and control a site.
Ghan-buri-Ghan, Chieftain of the Woses (P)	Promotional	0	LOTR00056	Free Peoples	Gandalf	Companion - Man	2	6	3	5		U	P	56			While you can spot 2 other Men, Ghan-buri-Ghan cannot be overwhelmed unless his strength is tripled. While at a forest site, Ghan-buri-Ghan is defender +1.
Radagast's Staff (P)	Promotional	0	LOTR00057	Free Peoples	Gandalf	Artifact - Staff	1	1	1			U	P	57			Bearer must be Radagast. Each time the fellowship moves during the regroup phase, you may draw 2 cards.
Anarion, Lord of Anorien (P)	Promotional	0	LOTR00058	Free Peoples	Gondor	Companion - Man	3	7	3	6		U	P	58			Skirmish: Play a [GONDOR] skirmish event to make each minion skirmishing Anarion strength -X, where X is Anarion's vitality.
Erkenbrand, Master of Westfold (P)	Promotional	0	LOTR00059	Free Peoples	Rohan	Companion - Man	3	7	3	5		U	P	59			If you can spot a [ROHAN] Man, you may play Erkenbrand any time you could play a skirmish event. When you play Erkenbrand, you may discard a Shadow possession.
Tom Bombadil's Hat (P)	Promotional	0	LOTR00060	Free Peoples	Shire	Possession - Support Area	1					U	P	60			To play, spot 2 [SHIRE] companions. Each time a Shadow card adds a burden or a threat, add a [SHIRE] token here. Fellowship: Remove 2 [SHIRE] tokens from here to remove a burden.
The Witch-king, Black Captain (P)	Promotional	0	LOTR00061	Shadow	Wraith	Minion - Nazgul	8	14	4		3	U	P	61			Enduring. Each Man skirmishing The Witch-king loses all strength bonuses from weapons.
Gimli, Dwarven Delegate (P)	Promotional	0	LOTR00062	Free Peoples	Dwarven	Companion - Dwarf	2	7	3	6		U	P	62			Damage +1.
Arwen, Maiden of Rivendell (P)	Promotional	0	LOTR00063	Free Peoples	Elven	Companion - Elf	2	6	3	6		U	P	63			Ranger. Skirmish: Exert Arwen to make a minion skirmishing an Elf strength -2.
